ITEMNAME;description;QUANTITY;category;groupid;styleno;costpx;sellingpx;re-order;uom;branch;date;barcode
display hooks s6;display hooks s6;0;;;;8259;20000;5;1;1;12-11-2020;130
display hooks 8;display hooks 8;0;;;;10326;20000;5;1;1;12-11-2020;131
bovos small;bovos small;0;;;;13769;25000;5;1;1;12-11-2020;132
bovos big ;bovos big ;0;;;;11473;25000;5;1;1;12-11-2020;133
altrex channel small;altrex channel small;0;;;;15600;30000;5;1;1;12-11-2020;134
altrex channel big size;altrex channel big size;0;;;;5007;15000;5;1;1;12-11-2020;135
"chisel I""";"chisel I""";5;;;;6500;10000;5;1;1;12-11-2020;136
hilt bit  6;hilt bit  6;0;;;;6400;10000;5;1;1;12-11-2020;137
hilt bit  8;hilt bit  8;0;;;;1300;6000;5;1;1;12-11-2020;138
allen key;allen key;10;;;;1400;8000;5;1;1;12-11-2020;139
bit s3;bit s3;0;;;;300;1000;5;1;1;12-11-2020;140
bit s3.5;bit s3.5;0;;;;280;1000;5;1;1;12-11-2020;141
bit s4;bit s4;25;;;;314;1500;5;1;1;12-11-2020;142
bit s4.5;bit s4.5;40;;;;370;2000;5;1;1;12-11-2020;143
bit s5;bit s5;13;;;;500;2000;5;1;1;12-11-2020;144
bit 6;bit 6;36;;;;600;2500;5;1;1;12-11-2020;145
bit s8;bit s8;12;;;;780;2500;5;1;1;12-11-2020;146
chains ;chains ;21;;;;1300;3000;5;1;1;12-11-2020;147
"screw eye 2""";"screw eye 2""";575;;;;8900;15000;5;8;1;12-11-2020;148
ordinaryscrews 11/4*8;ordinaryscrews 11/4*8;0;;;;1972;3000;5;8;1;12-11-2020;149
ord8inary screws 11/2*8;ord8inary screws 11/2*8;9;;;;2121;4000;5;8;1;12-11-2020;150
water proof 60;water proof 60;100;;;;2121;4000;5;1;1;12-11-2020;151
water proof 80;water proof 80;100;;;;900;1500;5;1;1;12-11-2020;152
water proof 100;water proof 100;100;;;;825;1500;5;1;1;12-11-2020;153
waterproof 120;waterproof 120;100;;;;712;1500;5;1;1;12-11-2020;154
"screw hooks 4""";"screw hooks 4""";0;;;;615;1500;5;1;1;12-11-2020;155
"screw hooks 6""";"screw hooks 6""";0;;;;2628;5000;5;1;1;12-11-2020;156
"screw hooks 8""";"screw hooks 8""";0;;;;3375;7000;5;1;1;12-11-2020;157
"screw hooks 10""";"screw hooks 10""";0;;;;4500;9000;5;1;1;12-11-2020;158
"screw hooks 12""";"screw hooks 12""";0;;;;5700;12000;5;1;1;12-11-2020;159
"screw hooks 14""";"screw hooks 14""";0;;;;6200;20000;5;1;1;12-11-2020;160
night latch;night latch;0;;;;6800;20000;5;1;1;12-11-2020;161
"altrex 10""";"altrex 10""";0;;;;800;1500;5;1;1;12-11-2020;162
"altrex 12""";"altrex 12""";17;;;;750;3000;5;1;1;12-11-2020;163
"chisel 1/2""";"chisel 1/2""";0;;;;855;3000;5;1;1;12-11-2020;164
"chisel 1""";"chisel 1""";0;;;;2100;5000;5;1;1;12-11-2020;165
rings 25;rings 25;6;;;;2520;6000;5;1;1;12-11-2020;166
rings 35;rings 35;3;;;;5250;10000;5;1;1;12-11-2020;167
rings 38;rings 38;0;;;;33;300;5;1;1;12-11-2020;168
metal hooks;metal hooks;0;;;;25;300;5;1;1;12-11-2020;169
fridge lock ;fridge lock ;25;;;;35000;70000;5;8;1;12-11-2020;170
S-Hook;S-Hook;145;;;;1028;3500;5;1;1;12-11-2020;171
central lock;central lock;3;;;;865;3000;5;1;1;12-11-2020;172
nail pins ;nail pins ;400;;;;104;1000;5;1;1;12-11-2020;173
blowers;blowers;7;;;;38513;70000;5;1;1;12-11-2020;174
blowers;blowers;6;;;;67659;80000;5;1;1;12-11-2020;175
ordinaryhandles ;ordinaryhandles ;11;;;;8500;17000;5;7;1;12-11-2020;176
bike padlocks;bike padlocks;3;;;;7500;10000;5;1;1;12-11-2020;177
